"Qty","Cost","Reference","MFG_PN","Value","Description","MFG"
"4","6.06","U7,U8,U9,U10","LT3045EDD#TRPBF","LT3045xDD","IC REG LIN POS ADJ 500MA 10DFN","Analog Devices"
"4","2.01","U4,U5,U21,U22","LT6106CS5#TRMPBF","LT6106","IC CURR SENSE 1 CIRCUIT TSOT23-5","Analog Devices"
"2","6.46","U3,U20","LT3015EQ-15#PBF","LT3015EQ-15","IC REG LINEAR -15V 1.5A DDPAK-5","Analog Devices"
"2","5.57","U2,U19","LT1963AEQ#TRPBF","LT1963AEQ","IC REG LIN POS ADJ 1.5A DDPAK-5","Analog Devices"
"4","","U15,U16,U17,U18","BNL","Burden","Burden Resistor Daughterboard","BNL"
"3","","U12,U13,U14","LTC2991CMS#TRPBF","LTC2991CMS_TRPBF","IC MONITOR OCTAL 16MSOP","Analog Devices"
"1","0.37","U23","CD74HC4050PWR","CD74HC4050","IC BUFFER NON-INVERT 6V 16-TSSOP","TI"
"1","9.56","U11","LT8643SEV#PBF","LT8643S","IC REG BUCK ADJ 6A 24LQFN","Analog Devices"
"1","5.79","U6","LT3015EDD#PBF","LT3015EDDPBF","IC REG LINEAR NEG ADJ 1.5A 8-DFN","Analog Devices"
"1","1.78","U1","3-641215-6","3-641215-6","CONN HEADER VERT 6POS 2.54MM","TE"
"8","0.23","TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19","RCS-0C","GND,i2c_scl,i2c_sda","PC TEST POINT NATURAL","TE"
"11","","TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11","N/A","+1.8V,+15V,+15V_DCCT,+2.5V,+3.3V,+5.0V,+5.3V,-15V,-15V_DCCT,-5.3V,Net-(Q1-G)","","N/A"
"6","0.01","R9,R10,R48,R49,R58,R59","ERJ-2RKF4991X","4.99K","RES SMD 4.99K OHM 1% 1/10W 0402","Panasonic"
"11","0.01","R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70","ERJ-2RKF1002X","10K","RES SMD 9.53K OHM 1% 1/10W 0402","Panasonic"
"3","0.01","R42,R44,R46","ERJ-2RKF9531X","9.53K","RES SMD 9.53K OHM 1% 1/10W 0402","Panasonic"
"4","0.71","R4,R7,R53,R56","KRL6432E-M-R010-F-T1","0.01","RES 0.01 OHM 3W 2512 WIDE","Susumu"
"6","0.01","R36,R38,R40,R43,R45,R47","ERJ-2RKF9091X","9.09K","RES SMD 9.09K OHM 1% 1/10W 0402","Panasonic"
"2","0.01","R31,R32","ERJ-2RKF4701X","4.7K","RES SMD 4.7K OHM 1% 1/10W 0402","Panasonic"
"8","0.01","R3,R5,R6,R8,R52,R54,R55,R57","ERJ-2RKF1000X","100","RES SMD 100 OHM 1% 1/10W 0402","Panasonic"
"2","0.01","R29,R35","ERJ-2RKF1022X","10.2K","RES SMD 10.2K OHM 1% 1/10W 0402","Panasonic"
