"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C67,C66,C8,C7";"CAPMP7.6X4.3_4.3N_KEM";4;"100uF";;;
2;"C61,C60,C1,C2";"CAP_EEFK_D8_PAN";4;"100uF";;;
3;"U1";"3-641215-6_TYC";1;"3-641215-6";;;
4;"J1,J2,J3";"TE_6469028-1";3;"6469028-1";;;
5;"R16,R2,R51";"R_0402_1005Metric";3;"1.0K";;;
6;"R13,R14,R22,R19,R25";"RESC1220X70N";5;"KRL2012E-M-R220-F-T5";;;
7;"U9,U7,U8,U10";"DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm";4;"LT3045xDD";;;
8;"C20,C32,C3,C44,C16,C63,C28,C68,C18,C25,C41,C22,C17,C11,C29,C40,C70,C62,C35,C34,C4,C38,C9";"C_0603_1608Metric";23;"10uF";;;
9;"L5,L2,L3,L1,L4";"IND_LSMG_160808_TAY";5;"LSMGG160808T331RG";;;
10;"R64,R66,R62,R69,R67,R61,R63,R60,R65,R68";"R_0402_1005Metric";10;"10K";;;
11;"U19,U2";"TO-263-5_TabPin3";2;"LT1963AEQ";;;
12;"R48,R58,R49,R10,R9,R59";"R_0402_1005Metric";6;"4.99K";;;
13;"D1";"LED_0603_1608Metric";1;"GREEN";;;
14;"R27";"R_0402_1005Metric";1;"1k";;;
15;"R26";"R_0402_1005Metric";1;"41.2k";;;
16;"U17,U16,U15,U18";"burden";4;"~";;;
17;"R15,R50,R1";"R_0402_1005Metric";3;"11.4K";;;
18;"R28";"R_0402_1005Metric";1;"8.45k";;;
19;"R33,R20,R23,R11,R17";"R_0402_1005Metric";5;"0";;;
20;"R32,R31";"R_0402_1005Metric";2;"4.7k";;;
21;"U13,U14,U12";"MSOP-16_MS";3;"LTC2991CMS_TRPBF";;;
22;"C31,C30,C65,C24,C6,C42,C10,C36,C37,C23,C21,C19,C12,C71,C5,C69,C64,C43,C58,C14,C75,C13,C72,C74,C15,C59,C73,C57";"C_0402_1005Metric";28;"0.1uF";;;
23;"R56,R53,R4";"RES_6432_SUS";3;"KRL6432E-M-R010-F-T1";;;
24;"J15,J10,J9,J12,J5,J16,J13,J6";"AMPHENOL_61083-061402LF";8;"61083-061402LF";;;
25;"R29,R35";"R_0402_1005Metric";2;"10.2k";;;
26;"U11";"QFN-24-4EP_4x4mm_P0.5mm_EP1.125x1.125mm";1;"LT8643S";;;
27;"R12";"R_0402_1005Metric";1;"53K";;;
28;"R36,R38,R45,R43,R47,R40";"R_0402_1005Metric";6;"9K";;;
29;"R46,R42,R44";"R_0402_1005Metric";3;"9.56K";;;
30;"C27,C33,C26,C39,C45";"C_1206_3216Metric";5;"100uF";;;
31;"C48,C52";"C_0603_1608Metric";2;"10p";;;
32;"R55,R54,R57,R5,R3,R8,R6,R52";"R_0402_1005Metric";8;"100";;;
33;"TP2";"TestPoint_THTPad_D2.0mm_Drill1.0mm";1;"+5.0V";;;
34;"R34";"R_0402_1005Metric";1;"42.2k";;;
35;"R39,R41,R37";"R_0402_1005Metric";3;"1K";;;
36;"J11,J17,J14,J8";"0836149012";4;"0836149012";;;
37;"U4,U21,U5,U22";"SOT-23-5";4;"LT6105";;;
38;"C56,C54,C55,C53";"C_0805_2012Metric";4;"22u";;;
39;"C46";"C_0603_1608Metric";1;"0.022u";;;
40;"C49,C47";"C_0603_1608Metric";2;"10u";;;
41;"L6";"COILCRAFT_MSS1048";1;"2.2u";;;
42;"U20,U3";"TO-263-5_TabPin3";2;"LT3015xQ-15";;;
43;"R18";"R_0402_1005Metric";1;"33.2K";;;
44;"U23";"PW16";1;"CD74HC4050";;;
45;"J4";"MOLEX_39301022";1;"39301022";;;
46;"R30";"R_0402_1005Metric";1;"1.13k";;;
47;"U6";"DFN-8_DD";1;"LT3015EDDPBF";;;
48;"R7";"RES_6432_SUS";1;"0.01";;;
49;"Q1";"SOT-323_SC-70";1;"NX7002BKW";;;
50;"TP1";"TestPoint_THTPad_D2.0mm_Drill1.0mm";1;"Net-(Q1-G)";;;
51;"R21";"R_0402_1005Metric";1;"18.0K";;;
52;"C51";"C_0603_1608Metric";1;"1u";;;
53;"C50";"C_0603_1608Metric";1;"330p";;;
54;"R24";"R_0402_1005Metric";1;"24.9K";;;
55;"J7";"CONN_F15-26P135G0-5979_MOL";1;"1731130154";;;
